date,open,high,low,close,volume
2011-09-13,5.8,6.0,5.65,5.97,58.371382380000014
2011-09-14,5.58,5.72,5.52,5.53,61.145983619999996
2011-09-15,5.12,5.24,5.0,5.13,80.14079519999999
2011-09-16,4.82,4.87,4.8,4.85,39.9140068
2011-09-17,4.87,4.87,4.87,4.87,0.3
2011-09-18,4.87,4.92,4.81,4.92,119.8128
2011-09-19,4.9,4.9,4.9,4.9,20.0
2011-09-20,4.92,5.66,4.92,5.66,89.28071068000001
2011-09-21,5.7,5.79,5.66,5.66,17.629322379999998
2011-09-22,5.68,5.72,5.68,5.72,43.778422379999995
2011-09-23,5.7,5.72,5.7,5.72,20.68003681
2011-09-24,5.7,5.76,5.68,5.68,90.58706633
2011-09-25,6.05,6.05,6.05,6.05,12.219999999999999
2011-09-26,6.06,6.06,4.8,4.8,39.578463340000006
2011-09-27,4.85,4.92,4.85,4.92,24.3545
2011-09-28,4.9,4.91,4.82,4.82,83.05332580000001
2011-09-29,4.81,4.82,4.81,4.82,46.96450000000001
2011-09-30,,,,,0.0
2011-10-01,,,,,0.0
2011-10-02,,,,,0.0
2011-10-03,4.85,4.87,4.83,4.87,30.57595
2011-10-04,4.86,5.3,4.8,4.98,142.52162238
2011-10-05,4.92,6.25,4.8,4.92,113.72000000000001
2011-10-06,4.88,4.99,4.8,4.8,170.84354937
2011-10-07,4.8,4.81,4.59,4.61,94.64
2011-10-08,4.57,4.57,3.99,3.99,55.99999999999999
2011-10-09,3.89,3.89,3.89,3.89,11.0
2011-10-10,3.99,4.51,3.99,4.51,132.5
2011-10-11,3.98,4.1,3.98,4.1,78.08000000000001
2011-10-12,3.95,3.99,3.93,3.93,79.523525
2011-10-13,3.93,3.97,3.93,3.97,109.62176600000001
2011-10-14,4.05,4.05,4.05,4.05,96.97751266
2011-10-15,,,,,0.0
2011-10-16,,,,,0.0
2011-10-17,3.92,3.92,3.92,3.92,10.24
2011-10-18,,,,,0.0
2011-10-19,,,,,0.0
2011-10-20,2.22,2.29,2.22,2.24,61.972332
2011-10-21,2.22,2.27,2.22,2.27,41.46334066
2011-10-22,,,,,0.0
2011-10-23,,,,,0.0
2011-10-24,2.99,2.99,2.92,2.92,64.53999999999999
2011-10-25,2.66,2.72,2.66,2.72,130.29932366000003
2011-10-26,2.72,3.0,2.67,2.69,268.26897266
2011-10-27,,,,,0.0
2011-10-28,3.07,4.36,3.07,4.2,118.37787266000001
2011-10-29,3.69,4.4,3.69,3.95,88.432425
2011-10-30,3.85,3.85,3.2,3.5,116.381395
2011-10-31,3.25,3.55,3.2,3.3,68.99404308
2011-11-01,3.32,3.33,3.32,3.33,38.7771206
2011-11-02,,,,,0.0
2011-11-03,,,,,0.0
2011-11-04,3.27,3.55,3.21,3.55,117.08103867
2011-11-05,3.21,3.21,3.0,3.0,103.512
2011-11-06,2.95,2.95,2.95,2.95,203.388
2011-11-07,,,,,0.0
2011-11-08,3.08,3.08,3.08,3.08,47.47212389
2011-11-09,3.09,3.3,3.09,3.3,58.86052015
2011-11-10,3.25,3.3,2.95,3.3,121.66777314000001
2011-11-11,3.3,3.3,3.3,3.3,65.434
2011-11-12,3.35,3.35,3.35,3.35,2.79
2011-11-13,3.35,3.35,3.35,3.35,29.48955224
2011-11-14,2.95,2.95,2.47,2.47,183.4
2011-11-15,2.99,3.0,2.5,2.5,97.34161180000001
2011-11-16,2.51,3.0,2.51,3.0,5.61666667
